product_id,product_name,brand,category,subcategory,seller,price_NPR,currency,in_stock
1,Maybelline Fit Me Foundation 30ml,Maybelline,Cosmetics,Foundation,SastoDeal,2064.05,NPR,True
2,Maybelline Fit Me Foundation 30ml,Maybelline,Cosmetics,Foundation,Daraz Nepal,1204.54,NPR,True
3,Maybelline Fit Me Foundation 30ml,Maybelline,Cosmetics,Foundation,Amazon,1419.61,NPR,True
4,Maybelline Fit Me Foundation 30ml,Maybelline,Cosmetics,Foundation,HamroBazar,2245.53,NPR,True
5,LOreal True Match Foundation,L'Oreal,Cosmetics,Foundation,SastoDeal,1256.55,NPR,True
6,LOreal True Match Foundation,L'Oreal,Cosmetics,Foundation,Daraz Nepal,2095.74,NPR,False
7,LOreal True Match Foundation,L'Oreal,Cosmetics,Foundation,Amazon,2391.33,NPR,False
8,LOreal True Match Foundation,L'Oreal,Cosmetics,Foundation,HamroBazar,1428.39,NPR,True
9,Revlon ColorStay Foundation,Revlon,Cosmetics,Foundation,SastoDeal,2359.51,NPR,True
10,Revlon ColorStay Foundation,Revlon,Cosmetics,Foundation,Daraz Nepal,2829.69,NPR,True
11,Revlon ColorStay Foundation,Revlon,Cosmetics,Foundation,Amazon,1818.9,NPR,True
12,Revlon ColorStay Foundation,Revlon,Cosmetics,Foundation,HamroBazar,2344.87,NPR,True
13,Wardah BB Cream 30ml,Wardah,Cosmetics,BB Cream,SastoDeal,816.74,NPR,True
14,Wardah BB Cream 30ml,Wardah,Cosmetics,BB Cream,Daraz Nepal,1199.74,NPR,False
15,Wardah BB Cream 30ml,Wardah,Cosmetics,BB Cream,Amazon,1072.01,NPR,True
16,Wardah BB Cream 30ml,Wardah,Cosmetics,BB Cream,HamroBazar,1336.32,NPR,True
17,Maybelline Dream BB Cream,Maybelline,Cosmetics,BB Cream,SastoDeal,815.4,NPR,False
18,Maybelline Dream BB Cream,Maybelline,Cosmetics,BB Cream,Daraz Nepal,1423.54,NPR,True
19,Maybelline Dream BB Cream,Maybelline,Cosmetics,BB Cream,Amazon,1590.85,NPR,True
20,Maybelline Dream BB Cream,Maybelline,Cosmetics,BB Cream,HamroBazar,1854.56,NPR,True
21,Maybelline Lipstick Red,Maybelline,Cosmetics,Lipstick,SastoDeal,1147.68,NPR,True
22,Maybelline Lipstick Red,Maybelline,Cosmetics,Lipstick,Daraz Nepal,1689.93,NPR,True
23,Maybelline Lipstick Red,Maybelline,Cosmetics,Lipstick,Amazon,1029.56,NPR,True
24,Maybelline Lipstick Red,Maybelline,Cosmetics,Lipstick,HamroBazar,1680.07,NPR,True
25,Maybelline Lipstick Pink,Maybelline,Cosmetics,Lipstick,SastoDeal,853.44,NPR,True
26,Maybelline Lipstick Pink,Maybelline,Cosmetics,Lipstick,Daraz Nepal,1752.3,NPR,True
27,Maybelline Lipstick Pink,Maybelline,Cosmetics,Lipstick,Amazon,1375.05,NPR,True
28,Maybelline Lipstick Pink,Maybelline,Cosmetics,Lipstick,HamroBazar,1305.41,NPR,True
29,LOreal Matte Lipstick,L'Oreal,Cosmetics,Lipstick,SastoDeal,1453.45,NPR,True
30,LOreal Matte Lipstick,L'Oreal,Cosmetics,Lipstick,Daraz Nepal,932.17,NPR,True
31,LOreal Matte Lipstick,L'Oreal,Cosmetics,Lipstick,Amazon,1004.14,NPR,True
32,LOreal Matte Lipstick,L'Oreal,Cosmetics,Lipstick,HamroBazar,2059.75,NPR,True
33,NYX Soft Matte Lip Cream,NYX,Cosmetics,Lip Cream,SastoDeal,1652.41,NPR,False
34,NYX Soft Matte Lip Cream,NYX,Cosmetics,Lip Cream,Daraz Nepal,1084.37,NPR,True
35,NYX Soft Matte Lip Cream,NYX,Cosmetics,Lip Cream,Amazon,1459.32,NPR,False
36,NYX Soft Matte Lip Cream,NYX,Cosmetics,Lip Cream,HamroBazar,2304.84,NPR,True
37,Revlon ColorStay Lipstick,Revlon,Cosmetics,Lipstick,SastoDeal,1674.44,NPR,True
38,Revlon ColorStay Lipstick,Revlon,Cosmetics,Lipstick,Daraz Nepal,1909.56,NPR,True
39,Revlon ColorStay Lipstick,Revlon,Cosmetics,Lipstick,Amazon,1319.2,NPR,False
40,Revlon ColorStay Lipstick,Revlon,Cosmetics,Lipstick,HamroBazar,1657.63,NPR,True
41,Lakme Lipstick,Lakme,Cosmetics,Lipstick,SastoDeal,1314.02,NPR,True
42,Lakme Lipstick,Lakme,Cosmetics,Lipstick,Daraz Nepal,808.67,NPR,True
43,Lakme Lipstick,Lakme,Cosmetics,Lipstick,Amazon,1380.92,NPR,False
44,Lakme Lipstick,Lakme,Cosmetics,Lipstick,HamroBazar,743.0,NPR,True
45,Cetaphil Face Moisturizer 100ml,Cetaphil,Cosmetics,Moisturizer,SastoDeal,1868.66,NPR,True
46,Cetaphil Face Moisturizer 100ml,Cetaphil,Cosmetics,Moisturizer,Daraz Nepal,2219.45,NPR,True
47,Cetaphil Face Moisturizer 100ml,Cetaphil,Cosmetics,Moisturizer,Amazon,2114.14,NPR,False
48,Cetaphil Face Moisturizer 100ml,Cetaphil,Cosmetics,Moisturizer,HamroBazar,1994.47,NPR,False
49,Neutrogena Hydro Boost 50ml,Neutrogena,Cosmetics,Moisturizer,SastoDeal,2755.62,NPR,True
50,Neutrogena Hydro Boost 50ml,Neutrogena,Cosmetics,Moisturizer,Daraz Nepal,2325.48,NPR,True
51,Neutrogena Hydro Boost 50ml,Neutrogena,Cosmetics,Moisturizer,Amazon,3521.81,NPR,True
52,Neutrogena Hydro Boost 50ml,Neutrogena,Cosmetics,Moisturizer,HamroBazar,1688.84,NPR,False
53,Olay Total Effects Cream 50g,Olay,Cosmetics,Moisturizer,SastoDeal,1669.21,NPR,True
54,Olay Total Effects Cream 50g,Olay,Cosmetics,Moisturizer,Daraz Nepal,3135.78,NPR,False
55,Olay Total Effects Cream 50g,Olay,Cosmetics,Moisturizer,Amazon,3145.28,NPR,True
56,Olay Total Effects Cream 50g,Olay,Cosmetics,Moisturizer,HamroBazar,1506.72,NPR,True
57,Ponds White Beauty Cream 50g,Ponds,Cosmetics,Face Cream,SastoDeal,1018.42,NPR,True
58,Ponds White Beauty Cream 50g,Ponds,Cosmetics,Face Cream,Daraz Nepal,1079.98,NPR,False
59,Ponds White Beauty Cream 50g,Ponds,Cosmetics,Face Cream,Amazon,1193.4,NPR,True
60,Ponds White Beauty Cream 50g,Ponds,Cosmetics,Face Cream,HamroBazar,743.92,NPR,False
61,Fair & Lovely Cream 50g,Fair & Lovely,Cosmetics,Face Cream,SastoDeal,502.66,NPR,True
62,Fair & Lovely Cream 50g,Fair & Lovely,Cosmetics,Face Cream,Daraz Nepal,470.19,NPR,False
63,Fair & Lovely Cream 50g,Fair & Lovely,Cosmetics,Face Cream,Amazon,551.35,NPR,True
64,Fair & Lovely Cream 50g,Fair & Lovely,Cosmetics,Face Cream,HamroBazar,301.47,NPR,True
65,Himalaya Neem Cream 50g,Himalaya,Cosmetics,Face Cream,SastoDeal,465.34,NPR,False
66,Himalaya Neem Cream 50g,Himalaya,Cosmetics,Face Cream,Daraz Nepal,428.41,NPR,True
67,Himalaya Neem Cream 50g,Himalaya,Cosmetics,Face Cream,Amazon,333.59,NPR,True
68,Himalaya Neem Cream 50g,Himalaya,Cosmetics,Face Cream,HamroBazar,475.09,NPR,True
69,Garnier Micellar Water 400ml,Garnier,Cosmetics,Cleanser,SastoDeal,1075.19,NPR,True
70,Garnier Micellar Water 400ml,Garnier,Cosmetics,Cleanser,Daraz Nepal,1183.25,NPR,True
71,Garnier Micellar Water 400ml,Garnier,Cosmetics,Cleanser,Amazon,1328.37,NPR,True
72,Garnier Micellar Water 400ml,Garnier,Cosmetics,Cleanser,HamroBazar,766.71,NPR,True
73,Simple Face Wash 150ml,Simple,Cosmetics,Cleanser,SastoDeal,1214.24,NPR,True
74,Simple Face Wash 150ml,Simple,Cosmetics,Cleanser,Daraz Nepal,1520.53,NPR,True
