product_id,product_name,brand,category,subcategory,seller,price_NPR,currency
P25001,Maybelline Fit Me Foundation 30ml,Maybelline,Cosmetics,Foundation,SastoDeal,1069.77,NPR
P25002,Maybelline Fit Me Foundation 30ml,Maybelline,Cosmetics,Foundation,Daraz Nepal,2276.66,NPR
P25003,Maybelline Fit Me Foundation 30ml,Maybelline,Cosmetics,Foundation,Amazon,2107.71,NPR
P25004,Maybelline Fit Me Foundation 30ml,Maybelline,Cosmetics,Foundation,HamroBazar,2194.46,NPR
P25005,LOreal True Match Foundation,L'Oreal,Cosmetics,Foundation,SastoDeal,1870.68,NPR
P25006,LOreal True Match Foundation,L'Oreal,Cosmetics,Foundation,Daraz Nepal,1842.72,NPR
P25007,LOreal True Match Foundation,L'Oreal,Cosmetics,Foundation,Amazon,2111.23,NPR
P25008,LOreal True Match Foundation,L'Oreal,Cosmetics,Foundation,HamroBazar,1635.9,NPR
P25009,Revlon ColorStay Foundation,Revlon,Cosmetics,Foundation,SastoDeal,2010.06,NPR
P25010,Revlon ColorStay Foundation,Revlon,Cosmetics,Foundation,Daraz Nepal,1953.12,NPR
P25011,Revlon ColorStay Foundation,Revlon,Cosmetics,Foundation,Amazon,1912.75,NPR
P25012,Revlon ColorStay Foundation,Revlon,Cosmetics,Foundation,HamroBazar,3464.7,NPR
P25013,Wardah BB Cream 30ml,Wardah,Cosmetics,BB Cream,SastoDeal,1214.41,NPR
P25014,Wardah BB Cream 30ml,Wardah,Cosmetics,BB Cream,Daraz Nepal,1093.4,NPR
P25015,Wardah BB Cream 30ml,Wardah,Cosmetics,BB Cream,Amazon,900.81,NPR
P25016,Wardah BB Cream 30ml,Wardah,Cosmetics,BB Cream,HamroBazar,754.18,NPR
P25017,Maybelline Dream BB Cream,Maybelline,Cosmetics,BB Cream,SastoDeal,1944.6,NPR
P25018,Maybelline Dream BB Cream,Maybelline,Cosmetics,BB Cream,Daraz Nepal,1896.55,NPR
P25019,Maybelline Dream BB Cream,Maybelline,Cosmetics,BB Cream,Amazon,1837.9,NPR
P25020,Maybelline Dream BB Cream,Maybelline,Cosmetics,BB Cream,HamroBazar,956.16,NPR
P25021,Maybelline Lipstick Red,Maybelline,Cosmetics,Lipstick,SastoDeal,1164.55,NPR
P25022,Maybelline Lipstick Red,Maybelline,Cosmetics,Lipstick,Daraz Nepal,1782.56,NPR
P25023,Maybelline Lipstick Red,Maybelline,Cosmetics,Lipstick,Amazon,1401.8,NPR
P25024,Maybelline Lipstick Red,Maybelline,Cosmetics,Lipstick,HamroBazar,1708.66,NPR
P25025,Maybelline Lipstick Pink,Maybelline,Cosmetics,Lipstick,SastoDeal,1444.8,NPR
P25026,Maybelline Lipstick Pink,Maybelline,Cosmetics,Lipstick,Daraz Nepal,734.56,NPR
P25027,Maybelline Lipstick Pink,Maybelline,Cosmetics,Lipstick,Amazon,1754.62,NPR
P25028,Maybelline Lipstick Pink,Maybelline,Cosmetics,Lipstick,HamroBazar,1001.05,NPR
P25029,LOreal Matte Lipstick,L'Oreal,Cosmetics,Lipstick,SastoDeal,886.71,NPR
P25030,LOreal Matte Lipstick,L'Oreal,Cosmetics,Lipstick,Daraz Nepal,2119.42,NPR
P25031,LOreal Matte Lipstick,L'Oreal,Cosmetics,Lipstick,Amazon,1785.82,NPR
P25032,LOreal Matte Lipstick,L'Oreal,Cosmetics,Lipstick,HamroBazar,939.08,NPR
P25033,NYX Soft Matte Lip Cream,NYX,Cosmetics,Lip Cream,SastoDeal,2001.93,NPR
P25034,NYX Soft Matte Lip Cream,NYX,Cosmetics,Lip Cream,Daraz Nepal,2115.35,NPR
P25035,NYX Soft Matte Lip Cream,NYX,Cosmetics,Lip Cream,Amazon,1786.43,NPR
P25036,NYX Soft Matte Lip Cream,NYX,Cosmetics,Lip Cream,HamroBazar,2027.45,NPR
P25037,Revlon ColorStay Lipstick,Revlon,Cosmetics,Lipstick,SastoDeal,1234.01,NPR
P25038,Revlon ColorStay Lipstick,Revlon,Cosmetics,Lipstick,Daraz Nepal,1305.7,NPR
P25039,Revlon ColorStay Lipstick,Revlon,Cosmetics,Lipstick,Amazon,894.4,NPR
P25040,Revlon ColorStay Lipstick,Revlon,Cosmetics,Lipstick,HamroBazar,1627.32,NPR
P25041,Lakme Lipstick,Lakme,Cosmetics,Lipstick,SastoDeal,1229.92,NPR
P25042,Lakme Lipstick,Lakme,Cosmetics,Lipstick,Daraz Nepal,1200.67,NPR
P25043,Lakme Lipstick,Lakme,Cosmetics,Lipstick,Amazon,1363.53,NPR
P25044,Lakme Lipstick,Lakme,Cosmetics,Lipstick,HamroBazar,1458.54,NPR
P25045,Cetaphil Face Moisturizer 100ml,Cetaphil,Cosmetics,Moisturizer,SastoDeal,2868.96,NPR
P25046,Cetaphil Face Moisturizer 100ml,Cetaphil,Cosmetics,Moisturizer,Daraz Nepal,1300.1,NPR
P25047,Cetaphil Face Moisturizer 100ml,Cetaphil,Cosmetics,Moisturizer,Amazon,1326.12,NPR
P25048,Cetaphil Face Moisturizer 100ml,Cetaphil,Cosmetics,Moisturizer,HamroBazar,2684.05,NPR
