product_id,product_name,brand,category,subcategory,seller,price_NPR,currency
P11201,Nestle Milo 400g,Nestle,Food & Beverages,Beverage Powder,SastoDeal,594.56,NPR
P11202,Nestle Milo 400g,Nestle,Food & Beverages,Beverage Powder,Daraz Nepal,1039.82,NPR
P11203,Nestle Milo 400g,Nestle,Food & Beverages,Beverage Powder,Amazon,1008.81,NPR
P11204,Nestle Milo 400g,Nestle,Food & Beverages,Beverage Powder,HamroBazar,768.8,NPR
P11205,Nestle Milo 1kg,Nestle,Food & Beverages,Beverage Powder,SastoDeal,1451.5,NPR
P11206,Nestle Milo 1kg,Nestle,Food & Beverages,Beverage Powder,Daraz Nepal,1914.23,NPR
P11207,Nestle Milo 1kg,Nestle,Food & Beverages,Beverage Powder,Amazon,1464.54,NPR
P11208,Nestle Milo 1kg,Nestle,Food & Beverages,Beverage Powder,HamroBazar,1708.99,NPR
P11209,Nestle Milo 200g,Nestle,Food & Beverages,Beverage Powder,SastoDeal,394.15,NPR
P11210,Nestle Milo 200g,Nestle,Food & Beverages,Beverage Powder,Daraz Nepal,412.53,NPR
P11211,Nestle Milo 200g,Nestle,Food & Beverages,Beverage Powder,Amazon,304.37,NPR
P11212,Nestle Milo 200g,Nestle,Food & Beverages,Beverage Powder,HamroBazar,631.6,NPR
P11213,Nescafe Classic 200g,Nescafe,Food & Beverages,Coffee,SastoDeal,1903.48,NPR
P11214,Nescafe Classic 200g,Nescafe,Food & Beverages,Coffee,Daraz Nepal,1671.25,NPR
P11215,Nescafe Classic 200g,Nescafe,Food & Beverages,Coffee,Amazon,1151.8,NPR
P11216,Nescafe Classic 200g,Nescafe,Food & Beverages,Coffee,HamroBazar,1406.68,NPR
P11217,Nescafe Classic 100g,Nescafe,Food & Beverages,Coffee,SastoDeal,667.07,NPR
P11218,Nescafe Classic 100g,Nescafe,Food & Beverages,Coffee,Daraz Nepal,961.21,NPR
P11219,Nescafe Classic 100g,Nescafe,Food & Beverages,Coffee,Amazon,731.74,NPR
P11220,Nescafe Classic 100g,Nescafe,Food & Beverages,Coffee,HamroBazar,712.27,NPR
P11221,Nescafe Gold 100g,Nescafe,Food & Beverages,Coffee,SastoDeal,2194.42,NPR
P11222,Nescafe Gold 100g,Nescafe,Food & Beverages,Coffee,Daraz Nepal,1640.7,NPR
P11223,Nescafe Gold 100g,Nescafe,Food & Beverages,Coffee,Amazon,2338.15,NPR
P11224,Nescafe Gold 100g,Nescafe,Food & Beverages,Coffee,HamroBazar,1241.11,NPR
P11225,Bru Coffee 200g,Bru,Food & Beverages,Coffee,SastoDeal,687.65,NPR
P11226,Bru Coffee 200g,Bru,Food & Beverages,Coffee,Daraz Nepal,863.52,NPR
P11227,Bru Coffee 200g,Bru,Food & Beverages,Coffee,Amazon,720.52,NPR
P11228,Bru Coffee 200g,Bru,Food & Beverages,Coffee,HamroBazar,814.1,NPR
P11229,Lipton Tea 100 bags,Lipton,Food & Beverages,Tea,SastoDeal,654.37,NPR
P11230,Lipton Tea 100 bags,Lipton,Food & Beverages,Tea,Daraz Nepal,1227.68,NPR
P11231,Lipton Tea 100 bags,Lipton,Food & Beverages,Tea,Amazon,819.02,NPR
P11232,Lipton Tea 100 bags,Lipton,Food & Beverages,Tea,HamroBazar,1029.42,NPR
P11233,Lipton Tea 50 bags,Lipton,Food & Beverages,Tea,SastoDeal,708.67,NPR
P11234,Lipton Tea 50 bags,Lipton,Food & Beverages,Tea,Daraz Nepal,460.53,NPR
P11235,Lipton Tea 50 bags,Lipton,Food & Beverages,Tea,Amazon,560.02,NPR
P11236,Lipton Tea 50 bags,Lipton,Food & Beverages,Tea,HamroBazar,552.31,NPR
P11237,Wagh Bakri Tea 250g,Wagh Bakri,Food & Beverages,Tea,SastoDeal,458.99,NPR
P11238,Wagh Bakri Tea 250g,Wagh Bakri,Food & Beverages,Tea,Daraz Nepal,733.35,NPR
P11239,Wagh Bakri Tea 250g,Wagh Bakri,Food & Beverages,Tea,Amazon,949.38,NPR
P11240,Wagh Bakri Tea 250g,Wagh Bakri,Food & Beverages,Tea,HamroBazar,721.75,NPR
