product_id,product_name,brand,category,subcategory,seller,price_NPR,currency,in_stock
1,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,SastoDeal,745.09,NPR,False
2,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,Daraz Nepal,1346.15,NPR,True
3,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,Amazon,1611.88,NPR,True
4,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,HamroBazar,948.07,NPR,True
5,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,SastoDeal,617.54,NPR,True
6,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,Daraz Nepal,1001.94,NPR,True
7,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,Amazon,560.48,NPR,True
8,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,HamroBazar,919.76,NPR,True
9,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,SastoDeal,1076.28,NPR,False
10,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,Daraz Nepal,1080.62,NPR,True
11,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,Amazon,1531.98,NPR,False
12,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,HamroBazar,1129.87,NPR,True
13,Breeze Detergent 1.8kg,Breeze,Household,Detergent,SastoDeal,1050.19,NPR,True
14,Breeze Detergent 1.8kg,Breeze,Household,Detergent,Daraz Nepal,1031.35,NPR,True
15,Breeze Detergent 1.8kg,Breeze,Household,Detergent,Amazon,1462.96,NPR,False
16,Breeze Detergent 1.8kg,Breeze,Household,Detergent,HamroBazar,1254.87,NPR,False
17,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,SastoDeal,1332.48,NPR,False
18,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,Daraz Nepal,1430.98,NPR,True
19,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,Amazon,926.34,NPR,False
20,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,HamroBazar,1305.96,NPR,True
21,Tide Detergent 1kg,Tide,Household,Detergent,SastoDeal,1132.57,NPR,False
22,Tide Detergent 1kg,Tide,Household,Detergent,Daraz Nepal,589.9,NPR,True
23,Tide Detergent 1kg,Tide,Household,Detergent,Amazon,890.31,NPR,True
24,Tide Detergent 1kg,Tide,Household,Detergent,HamroBazar,530.72,NPR,True
25,Rin Detergent 1kg,Rin,Household,Detergent,SastoDeal,631.88,NPR,False
26,Rin Detergent 1kg,Rin,Household,Detergent,Daraz Nepal,764.05,NPR,True
27,Rin Detergent 1kg,Rin,Household,Detergent,Amazon,609.43,NPR,True
28,Rin Detergent 1kg,Rin,Household,Detergent,HamroBazar,879.88,NPR,True
29,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,SastoDeal,731.64,NPR,True
30,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,Daraz Nepal,1197.62,NPR,False
31,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,Amazon,1378.38,NPR,True
32,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,HamroBazar,1337.49,NPR,False
33,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,SastoDeal,819.45,NPR,True
34,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,Daraz Nepal,1214.09,NPR,False
35,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,Amazon,858.45,NPR,True
36,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,HamroBazar,886.91,NPR,True
37,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,SastoDeal,862.44,NPR,True
38,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,Daraz Nepal,929.53,NPR,True
39,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,Amazon,987.38,NPR,True
40,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,HamroBazar,1198.94,NPR,True
41,Vim Dishwash Bar 200g,Vim,Household,Dishwash,SastoDeal,229.3,NPR,True
42,Vim Dishwash Bar 200g,Vim,Household,Dishwash,Daraz Nepal,192.48,NPR,True
43,Vim Dishwash Bar 200g,Vim,Household,Dishwash,Amazon,112.84,NPR,True
44,Vim Dishwash Bar 200g,Vim,Household,Dishwash,HamroBazar,252.49,NPR,True
45,Sunlight Dishwash 900ml,Sunlight,Household,Dishwash,SastoDeal,535.3,NPR,True
46,Sunlight Dishwash 900ml,Sunlight,Household,Dishwash,Daraz Nepal,846.01,NPR,True
47,Sunlight Dishwash 900ml,Sunlight,Household,Dishwash,Amazon,783.2,NPR,True
48,Sunlight Dishwash 900ml,Sunlight,Household,Dishwash,HamroBazar,604.64,NPR,False
49,Fairy Dishwash 500ml,Fairy,Household,Dishwash,SastoDeal,1236.81,NPR,True
50,Fairy Dishwash 500ml,Fairy,Household,Dishwash,Daraz Nepal,873.76,NPR,True
51,Fairy Dishwash 500ml,Fairy,Household,Dishwash,Amazon,875.78,NPR,True
52,Fairy Dishwash 500ml,Fairy,Household,Dishwash,HamroBazar,697.94,NPR,False
53,Mama Lemon Dishwash 800ml,Mama Lemon,Household,Dishwash,SastoDeal,609.44,NPR,False
54,Mama Lemon Dishwash 800ml,Mama Lemon,Household,Dishwash,Daraz Nepal,807.54,NPR,True
55,Mama Lemon Dishwash 800ml,Mama Lemon,Household,Dishwash,Amazon,785.42,NPR,True
56,Mama Lemon Dishwash 800ml,Mama Lemon,Household,Dishwash,HamroBazar,670.17,NPR,False
57,Harpic Toilet Cleaner 1L,Harpic,Household,Toilet Cleaner,SastoDeal,721.82,NPR,True
58,Harpic Toilet Cleaner 1L,Harpic,Household,Toilet Cleaner,Daraz Nepal,1020.61,NPR,False
59,Harpic Toilet Cleaner 1L,Harpic,Household,Toilet Cleaner,Amazon,837.68,NPR,True
60,Harpic Toilet Cleaner 1L,Harpic,Household,Toilet Cleaner,HamroBazar,597.16,NPR,False
61,Domex Toilet Cleaner 750ml,Domex,Household,Toilet Cleaner,SastoDeal,404.31,NPR,True
62,Domex Toilet Cleaner 750ml,Domex,Household,Toilet Cleaner,Daraz Nepal,910.77,NPR,False
63,Domex Toilet Cleaner 750ml,Domex,Household,Toilet Cleaner,Amazon,441.94,NPR,True
64,Domex Toilet Cleaner 750ml,Domex,Household,Toilet Cleaner,HamroBazar,428.05,NPR,True
65,Dettol Floor Cleaner 900ml,Dettol,Household,Floor Cleaner,SastoDeal,956.2,NPR,False
66,Dettol Floor Cleaner 900ml,Dettol,Household,Floor Cleaner,Daraz Nepal,916.28,NPR,True
67,Dettol Floor Cleaner 900ml,Dettol,Household,Floor Cleaner,Amazon,487.57,NPR,False
68,Dettol Floor Cleaner 900ml,Dettol,Household,Floor Cleaner,HamroBazar,739.98,NPR,True
69,Mr Muscle Floor Cleaner 1L,Mr Muscle,Household,Floor Cleaner,SastoDeal,602.82,NPR,False
70,Mr Muscle Floor Cleaner 1L,Mr Muscle,Household,Floor Cleaner,Daraz Nepal,1131.85,NPR,True
71,Mr Muscle Floor Cleaner 1L,Mr Muscle,Household,Floor Cleaner,Amazon,754.09,NPR,True
72,Mr Muscle Floor Cleaner 1L,Mr Muscle,Household,Floor Cleaner,HamroBazar,1116.39,NPR,True
73,Dettol Antiseptic 500ml,Dettol,Household,Antiseptic,SastoDeal,636.58,NPR,True
74,Dettol Antiseptic 500ml,Dettol,Household,Antiseptic,Daraz Nepal,874.58,NPR,True
75,Dettol Antiseptic 500ml,Dettol,Household,Antiseptic,Amazon,775.31,NPR,True
76,Dettol Antiseptic 500ml,Dettol,Household,Antiseptic,HamroBazar,956.32,NPR,True
77,Clorox Bleach 1L,Clorox,Household,Bleach,SastoDeal,690.03,NPR,True
78,Clorox Bleach 1L,Clorox,Household,Bleach,Daraz Nepal,825.59,NPR,True
79,Clorox Bleach 1L,Clorox,Household,Bleach,Amazon,524.4,NPR,True
80,Clorox Bleach 1L,Clorox,Household,Bleach,HamroBazar,534.73,NPR,False
81,Febreze Air Freshener 300ml,Febreze,Household,Air Freshener,SastoDeal,1172.89,NPR,False
82,Febreze Air Freshener 300ml,Febreze,Household,Air Freshener,Daraz Nepal,1361.97,NPR,True
83,Febreze Air Freshener 300ml,Febreze,Household,Air Freshener,Amazon,1234.96,NPR,True
84,Febreze Air Freshener 300ml,Febreze,Household,Air Freshener,HamroBazar,768.47,NPR,False
85,Glade Air Freshener 300ml,Glade,Household,Air Freshener,SastoDeal,1378.36,NPR,False
86,Glade Air Freshener 300ml,Glade,Household,Air Freshener,Daraz Nepal,1339.84,NPR,False
87,Glade Air Freshener 300ml,Glade,Household,Air Freshener,Amazon,653.72,NPR,False
88,Glade Air Freshener 300ml,Glade,Household,Air Freshener,HamroBazar,766.31,NPR,True
89,Air Wick Air Freshener 300ml,Air Wick,Household,Air Freshener,SastoDeal,882.99,NPR,True
90,Air Wick Air Freshener 300ml,Air Wick,Household,Air Freshener,Daraz Nepal,987.76,NPR,False
91,Air Wick Air Freshener 300ml,Air Wick,Household,Air Freshener,Amazon,939.53,NPR,True
92,Air Wick Air Freshener 300ml,Air Wick,Household,Air Freshener,HamroBazar,1011.83,NPR,True
93,Scotch Brite Sponge 3 pack,Scotch Brite,Household,Cleaning Tool,SastoDeal,264.37,NPR,True
94,Scotch Brite Sponge 3 pack,Scotch Brite,Household,Cleaning Tool,Daraz Nepal,519.71,NPR,True
95,Scotch Brite Sponge 3 pack,Scotch Brite,Household,Cleaning Tool,Amazon,484.69,NPR,True
96,Scotch Brite Sponge 3 pack,Scotch Brite,Household,Cleaning Tool,HamroBazar,202.08,NPR,False
97,Scotch Brite Scrub 2 pack,Scotch Brite,Household,Cleaning Tool,SastoDeal,465.2,NPR,True
98,Scotch Brite Scrub 2 pack,Scotch Brite,Household,Cleaning Tool,Daraz Nepal,241.31,NPR,True
99,Scotch Brite Scrub 2 pack,Scotch Brite,Household,Cleaning Tool,Amazon,413.39,NPR,True
100,Scotch Brite Scrub 2 pack,Scotch Brite,Household,Cleaning Tool,HamroBazar,373.1,NPR,True
101,Kleenex Tissue 200 sheets,Kleenex,Household,Tissue,SastoDeal,608.1,NPR,True
102,Kleenex Tissue 200 sheets,Kleenex,Household,Tissue,Daraz Nepal,460.97,NPR,True
103,Kleenex Tissue 200 sheets,Kleenex,Household,Tissue,Amazon,621.62,NPR,True
104,Kleenex Tissue 200 sheets,Kleenex,Household,Tissue,HamroBazar,253.2,NPR,True
105,Puyat Tissue 200 sheets,Puyat,Household,Tissue,SastoDeal,177.9,NPR,True
106,Puyat Tissue 200 sheets,Puyat,Household,Tissue,Daraz Nepal,111.44,NPR,False
107,Puyat Tissue 200 sheets,Puyat,Household,Tissue,Amazon,229.77,NPR,True
108,Puyat Tissue 200 sheets,Puyat,Household,Tissue,HamroBazar,145.07,NPR,True
109,Scott Tissue 200 sheets,Scott,Household,Tissue,SastoDeal,273.03,NPR,False
110,Scott Tissue 200 sheets,Scott,Household,Tissue,Daraz Nepal,349.93,NPR,True
111,Scott Tissue 200 sheets,Scott,Household,Tissue,Amazon,527.6,NPR,True
112,Scott Tissue 200 sheets,Scott,Household,Tissue,HamroBazar,355.64,NPR,True
113,Glad Garbage Bags 20 pack,Glad,Household,Garbage Bags,SastoDeal,479.88,NPR,False
114,Glad Garbage Bags 20 pack,Glad,Household,Garbage Bags,Daraz Nepal,344.88,NPR,True
115,Glad Garbage Bags 20 pack,Glad,Household,Garbage Bags,Amazon,372.93,NPR,True
116,Glad Garbage Bags 20 pack,Glad,Household,Garbage Bags,HamroBazar,691.76,NPR,True
117,Sunlight Garbage Bags 30 pack,Sunlight,Household,Garbage Bags,SastoDeal,241.14,NPR,True
118,Sunlight Garbage Bags 30 pack,Sunlight,Household,Garbage Bags,Daraz Nepal,193.55,NPR,True
119,Sunlight Garbage Bags 30 pack,Sunlight,Household,Garbage Bags,Amazon,328.73,NPR,True
120,Sunlight Garbage Bags 30 pack,Sunlight,Household,Garbage Bags,HamroBazar,294.8,NPR,False
121,Ziplock Bags 20 pack,Ziplock,Household,Storage,SastoDeal,467.96,NPR,False
122,Ziplock Bags 20 pack,Ziplock,Household,Storage,Daraz Nepal,370.18,NPR,True
123,Ziplock Bags 20 pack,Ziplock,Household,Storage,Amazon,742.51,NPR,True
124,Ziplock Bags 20 pack,Ziplock,Household,Storage,HamroBazar,676.13,NPR,True
125,Reynolds Aluminium Foil 30m,Reynolds,Household,Kitchen Wrap,SastoDeal,361.13,NPR,True
126,Reynolds Aluminium Foil 30m,Reynolds,Household,Kitchen Wrap,Daraz Nepal,884.07,NPR,True
127,Reynolds Aluminium Foil 30m,Reynolds,Household,Kitchen Wrap,Amazon,366.9,NPR,False
128,Reynolds Aluminium Foil 30m,Reynolds,Household,Kitchen Wrap,HamroBazar,913.29,NPR,True
129,Glad Cling Wrap 30m,Glad,Household,Kitchen Wrap,SastoDeal,715.93,NPR,True
130,Glad Cling Wrap 30m,Glad,Household,Kitchen Wrap,Daraz Nepal,565.82,NPR,True
131,Glad Cling Wrap 30m,Glad,Household,Kitchen Wrap,Amazon,509.53,NPR,False
132,Glad Cling Wrap 30m,Glad,Household,Kitchen Wrap,HamroBazar,349.21,NPR,True
133,Colin Glass Cleaner 500ml,Colin,Household,Glass Cleaner,SastoDeal,623.82,NPR,True
134,Colin Glass Cleaner 500ml,Colin,Household,Glass Cleaner,Daraz Nepal,693.21,NPR,True
135,Colin Glass Cleaner 500ml,Colin,Household,Glass Cleaner,Amazon,618.05,NPR,True
136,Colin Glass Cleaner 500ml,Colin,Household,Glass Cleaner,HamroBazar,765.29,NPR,False
137,HIT Mosquito Spray 200ml,HIT,Household,Insect Repellent,SastoDeal,311.04,NPR,False
138,HIT Mosquito Spray 200ml,HIT,Household,Insect Repellent,Daraz Nepal,502.53,NPR,True
139,HIT Mosquito Spray 200ml,HIT,Household,Insect Repellent,Amazon,283.05,NPR,True
140,HIT Mosquito Spray 200ml,HIT,Household,Insect Repellent,HamroBazar,304.07,NPR,True
141,Mortein Mosquito Spray 200ml,Mortein,Household,Insect Repellent,SastoDeal,775.93,NPR,True
142,Mortein Mosquito Spray 200ml,Mortein,Household,Insect Repellent,Daraz Nepal,508.29,NPR,True
143,Mortein Mosquito Spray 200ml,Mortein,Household,Insect Repellent,Amazon,628.59,NPR,True
144,Mortein Mosquito Spray 200ml,Mortein,Household,Insect Repellent,HamroBazar,789.77,NPR,True
145,Good Knight Coil 10 pack,Good Knight,Household,Insect Repellent,SastoDeal,295.58,NPR,True
146,Good Knight Coil 10 pack,Good Knight,Household,Insect Repellent,Daraz Nepal,237.48,NPR,True
147,Good Knight Coil 10 pack,Good Knight,Household,Insect Repellent,Amazon,145.58,NPR,False
148,Good Knight Coil 10 pack,Good Knight,Household,Insect Repellent,HamroBazar,184.62,NPR,True
149,Odonil Room Freshener 50g,Odonil,Household,Air Freshener,SastoDeal,256.81,NPR,True
150,Odonil Room Freshener 50g,Odonil,Household,Air Freshener,Daraz Nepal,249.71,NPR,True
151,Odonil Room Freshener 50g,Odonil,Household,Air Freshener,Amazon,203.78,NPR,True
152,Odonil Room Freshener 50g,Odonil,Household,Air Freshener,HamroBazar,374.78,NPR,False
153,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,SastoDeal,1219.0,NPR,True
154,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,Daraz Nepal,1348.0,NPR,True
155,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,Amazon,1199.89,NPR,False
156,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,HamroBazar,1709.19,NPR,True
157,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,SastoDeal,528.71,NPR,False
158,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,Daraz Nepal,999.09,NPR,False
159,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,Amazon,871.3,NPR,True
160,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,HamroBazar,675.7,NPR,False
161,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,SastoDeal,1138.25,NPR,True
162,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,Daraz Nepal,1444.67,NPR,True
163,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,Amazon,1230.42,NPR,True
164,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,HamroBazar,1295.99,NPR,False
165,Breeze Detergent 1.8kg,Breeze,Household,Detergent,SastoDeal,712.63,NPR,True
166,Breeze Detergent 1.8kg,Breeze,Household,Detergent,Daraz Nepal,855.41,NPR,True
167,Breeze Detergent 1.8kg,Breeze,Household,Detergent,Amazon,994.89,NPR,True
168,Breeze Detergent 1.8kg,Breeze,Household,Detergent,HamroBazar,945.6,NPR,True
169,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,SastoDeal,1412.84,NPR,False
170,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,Daraz Nepal,1099.2,NPR,True
171,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,Amazon,1314.14,NPR,True
172,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,HamroBazar,1577.72,NPR,True
173,Tide Detergent 1kg,Tide,Household,Detergent,SastoDeal,1067.22,NPR,True
174,Tide Detergent 1kg,Tide,Household,Detergent,Daraz Nepal,674.65,NPR,True
175,Tide Detergent 1kg,Tide,Household,Detergent,Amazon,1047.96,NPR,True
176,Tide Detergent 1kg,Tide,Household,Detergent,HamroBazar,974.08,NPR,True
177,Rin Detergent 1kg,Rin,Household,Detergent,SastoDeal,629.46,NPR,False
178,Rin Detergent 1kg,Rin,Household,Detergent,Daraz Nepal,547.32,NPR,True
179,Rin Detergent 1kg,Rin,Household,Detergent,Amazon,455.67,NPR,True
180,Rin Detergent 1kg,Rin,Household,Detergent,HamroBazar,425.04,NPR,True
181,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,SastoDeal,898.14,NPR,True
182,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,Daraz Nepal,641.91,NPR,True
183,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,Amazon,771.59,NPR,True
184,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,HamroBazar,910.41,NPR,False
185,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,SastoDeal,802.36,NPR,True
186,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,Daraz Nepal,1198.99,NPR,True
187,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,Amazon,842.44,NPR,True
188,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,HamroBazar,1159.47,NPR,True
189,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,SastoDeal,1036.48,NPR,True
190,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,Daraz Nepal,1131.1,NPR,True
191,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,Amazon,895.14,NPR,True
192,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,HamroBazar,816.55,NPR,True
193,Vim Dishwash Bar 200g,Vim,Household,Dishwash,SastoDeal,211.87,NPR,True
194,Vim Dishwash Bar 200g,Vim,Household,Dishwash,Daraz Nepal,260.91,NPR,True
195,Vim Dishwash Bar 200g,Vim,Household,Dishwash,Amazon,168.13,NPR,False
196,Vim Dishwash Bar 200g,Vim,Household,Dishwash,HamroBazar,157.17,NPR,True
197,Sunlight Dishwash 900ml,Sunlight,Household,Dishwash,SastoDeal,826.9,NPR,False
198,Sunlight Dishwash 900ml,Sunlight,Household,Dishwash,Daraz Nepal,732.41,NPR,True
199,Sunlight Dishwash 900ml,Sunlight,Household,Dishwash,Amazon,771.73,NPR,True
200,Sunlight Dishwash 900ml,Sunlight,Household,Dishwash,HamroBazar,803.12,NPR,True
201,Fairy Dishwash 500ml,Fairy,Household,Dishwash,SastoDeal,534.28,NPR,True
202,Fairy Dishwash 500ml,Fairy,Household,Dishwash,Daraz Nepal,1218.43,NPR,True
203,Fairy Dishwash 500ml,Fairy,Household,Dishwash,Amazon,1083.07,NPR,True
204,Fairy Dishwash 500ml,Fairy,Household,Dishwash,HamroBazar,716.16,NPR,True
205,Mama Lemon Dishwash 800ml,Mama Lemon,Household,Dishwash,SastoDeal,720.43,NPR,False
206,Mama Lemon Dishwash 800ml,Mama Lemon,Household,Dishwash,Daraz Nepal,829.7,NPR,True
207,Mama Lemon Dishwash 800ml,Mama Lemon,Household,Dishwash,Amazon,864.17,NPR,True
208,Mama Lemon Dishwash 800ml,Mama Lemon,Household,Dishwash,HamroBazar,788.56,NPR,True
