product_id,product_name,brand,category,subcategory,seller,price_NPR,currency
P33601,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,SastoDeal,1599.79,NPR
P33602,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,Daraz Nepal,1246.87,NPR
P33603,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,Amazon,1402.57,NPR
P33604,Ariel Detergent Powder 1.8kg,Ariel,Household,Detergent,HamroBazar,1048.5,NPR
P33605,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,SastoDeal,968.14,NPR
P33606,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,Daraz Nepal,698.37,NPR
P33607,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,Amazon,781.19,NPR
P33608,Ariel Detergent Powder 1kg,Ariel,Household,Detergent,HamroBazar,896.45,NPR
P33609,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,SastoDeal,1405.84,NPR
P33610,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,Daraz Nepal,1163.05,NPR
P33611,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,Amazon,735.95,NPR
P33612,Surf Excel Detergent 1.5kg,Surf Excel,Household,Detergent,HamroBazar,1375.66,NPR
P33613,Breeze Detergent 1.8kg,Breeze,Household,Detergent,SastoDeal,1054.8,NPR
P33614,Breeze Detergent 1.8kg,Breeze,Household,Detergent,Daraz Nepal,798.97,NPR
P33615,Breeze Detergent 1.8kg,Breeze,Household,Detergent,Amazon,1244.94,NPR
P33616,Breeze Detergent 1.8kg,Breeze,Household,Detergent,HamroBazar,844.1,NPR
P33617,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,SastoDeal,1268.89,NPR
P33618,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,Daraz Nepal,1498.98,NPR
P33619,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,Amazon,1598.8,NPR
P33620,Dynamo Detergent 1.8kg,Dynamo,Household,Detergent,HamroBazar,1053.7,NPR
P33621,Tide Detergent 1kg,Tide,Household,Detergent,SastoDeal,555.86,NPR
P33622,Tide Detergent 1kg,Tide,Household,Detergent,Daraz Nepal,734.48,NPR
P33623,Tide Detergent 1kg,Tide,Household,Detergent,Amazon,1154.89,NPR
P33624,Tide Detergent 1kg,Tide,Household,Detergent,HamroBazar,694.75,NPR
P33625,Rin Detergent 1kg,Rin,Household,Detergent,SastoDeal,736.3,NPR
P33626,Rin Detergent 1kg,Rin,Household,Detergent,Daraz Nepal,554.76,NPR
P33627,Rin Detergent 1kg,Rin,Household,Detergent,Amazon,639.83,NPR
P33628,Rin Detergent 1kg,Rin,Household,Detergent,HamroBazar,869.57,NPR
P33629,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,SastoDeal,1336.98,NPR
P33630,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,Daraz Nepal,924.39,NPR
P33631,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,Amazon,1016.87,NPR
P33632,Downy Fabric Softener 1.5L,Downy,Household,Fabric Softener,HamroBazar,1057.54,NPR
P33633,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,SastoDeal,1111.05,NPR
P33634,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,Daraz Nepal,1102.04,NPR
P33635,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,Amazon,1062.41,NPR
P33636,Comfort Fabric Softener 1.4L,Comfort,Household,Fabric Softener,HamroBazar,1265.47,NPR
P33637,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,SastoDeal,1206.98,NPR
P33638,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,Daraz Nepal,962.06,NPR
P33639,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,Amazon,627.06,NPR
P33640,Softlan Fabric Softener 1.5L,Softlan,Household,Fabric Softener,HamroBazar,1228.9,NPR
P33641,Vim Dishwash Bar 200g,Vim,Household,Dishwash,SastoDeal,199.67,NPR
P33642,Vim Dishwash Bar 200g,Vim,Household,Dishwash,Daraz Nepal,262.52,NPR
P33643,Vim Dishwash Bar 200g,Vim,Household,Dishwash,Amazon,246.77,NPR
P33644,Vim Dishwash Bar 200g,Vim,Household,Dishwash,HamroBazar,224.4,NPR
