product_id,product_name,brand,category,subcategory,seller,price_NPR,currency,in_stock
1,Dove Shampoo 500ml,Dove,Personal Care,Shampoo,SastoDeal,770.86,NPR,True
2,Dove Shampoo 500ml,Dove,Personal Care,Shampoo,Daraz Nepal,911.6,NPR,True
3,Dove Shampoo 500ml,Dove,Personal Care,Shampoo,Amazon,658.87,NPR,True
4,Dove Shampoo 500ml,Dove,Personal Care,Shampoo,HamroBazar,660.83,NPR,False
5,Dove Shampoo 200ml,Dove,Personal Care,Shampoo,SastoDeal,462.33,NPR,True
6,Dove Shampoo 200ml,Dove,Personal Care,Shampoo,Daraz Nepal,625.35,NPR,False
7,Dove Shampoo 200ml,Dove,Personal Care,Shampoo,Amazon,329.79,NPR,True
8,Dove Shampoo 200ml,Dove,Personal Care,Shampoo,HamroBazar,567.05,NPR,True
9,Pantene Shampoo 400ml,Pantene,Personal Care,Shampoo,SastoDeal,876.95,NPR,True
10,Pantene Shampoo 400ml,Pantene,Personal Care,Shampoo,Daraz Nepal,488.32,NPR,True
11,Pantene Shampoo 400ml,Pantene,Personal Care,Shampoo,Amazon,892.98,NPR,True
12,Pantene Shampoo 400ml,Pantene,Personal Care,Shampoo,HamroBazar,448.12,NPR,True
13,Pantene Shampoo 200ml,Pantene,Personal Care,Shampoo,SastoDeal,388.85,NPR,False
14,Pantene Shampoo 200ml,Pantene,Personal Care,Shampoo,Daraz Nepal,235.35,NPR,True
15,Pantene Shampoo 200ml,Pantene,Personal Care,Shampoo,Amazon,373.07,NPR,True
16,Pantene Shampoo 200ml,Pantene,Personal Care,Shampoo,HamroBazar,576.25,NPR,True
17,Head & Shoulders Shampoo 330ml,Head & Shoulders,Personal Care,Shampoo,SastoDeal,643.39,NPR,True
18,Head & Shoulders Shampoo 330ml,Head & Shoulders,Personal Care,Shampoo,Daraz Nepal,725.14,NPR,True
19,Head & Shoulders Shampoo 330ml,Head & Shoulders,Personal Care,Shampoo,Amazon,583.79,NPR,True
20,Head & Shoulders Shampoo 330ml,Head & Shoulders,Personal Care,Shampoo,HamroBazar,922.88,NPR,True
21,Head & Shoulders Shampoo 180ml,Head & Shoulders,Personal Care,Shampoo,SastoDeal,439.2,NPR,False
22,Head & Shoulders Shampoo 180ml,Head & Shoulders,Personal Care,Shampoo,Daraz Nepal,390.53,NPR,True
23,Head & Shoulders Shampoo 180ml,Head & Shoulders,Personal Care,Shampoo,Amazon,502.05,NPR,True
24,Head & Shoulders Shampoo 180ml,Head & Shoulders,Personal Care,Shampoo,HamroBazar,211.86,NPR,True
25,Sunsilk Shampoo 320ml,Sunsilk,Personal Care,Shampoo,SastoDeal,318.47,NPR,False
26,Sunsilk Shampoo 320ml,Sunsilk,Personal Care,Shampoo,Daraz Nepal,282.46,NPR,False
27,Sunsilk Shampoo 320ml,Sunsilk,Personal Care,Shampoo,Amazon,502.81,NPR,True
28,Sunsilk Shampoo 320ml,Sunsilk,Personal Care,Shampoo,HamroBazar,373.92,NPR,True
29,Sunsilk Shampoo 160ml,Sunsilk,Personal Care,Shampoo,SastoDeal,231.45,NPR,True
30,Sunsilk Shampoo 160ml,Sunsilk,Personal Care,Shampoo,Daraz Nepal,265.62,NPR,True
31,Sunsilk Shampoo 160ml,Sunsilk,Personal Care,Shampoo,Amazon,355.99,NPR,True
32,Sunsilk Shampoo 160ml,Sunsilk,Personal Care,Shampoo,HamroBazar,293.7,NPR,False
33,Rejoice Shampoo 340ml,Rejoice,Personal Care,Shampoo,SastoDeal,325.3,NPR,False
34,Rejoice Shampoo 340ml,Rejoice,Personal Care,Shampoo,Daraz Nepal,535.3,NPR,True
35,Rejoice Shampoo 340ml,Rejoice,Personal Care,Shampoo,Amazon,360.91,NPR,False
36,Rejoice Shampoo 340ml,Rejoice,Personal Care,Shampoo,HamroBazar,571.21,NPR,True
37,TRESemme Shampoo 400ml,TRESemme,Personal Care,Shampoo,SastoDeal,885.29,NPR,True
38,TRESemme Shampoo 400ml,TRESemme,Personal Care,Shampoo,Daraz Nepal,803.06,NPR,False
39,TRESemme Shampoo 400ml,TRESemme,Personal Care,Shampoo,Amazon,498.35,NPR,True
40,TRESemme Shampoo 400ml,TRESemme,Personal Care,Shampoo,HamroBazar,510.51,NPR,True
41,Clinic Plus Shampoo 340ml,Clinic Plus,Personal Care,Shampoo,SastoDeal,477.34,NPR,False
42,Clinic Plus Shampoo 340ml,Clinic Plus,Personal Care,Shampoo,Daraz Nepal,223.65,NPR,True
43,Clinic Plus Shampoo 340ml,Clinic Plus,Personal Care,Shampoo,Amazon,444.13,NPR,True
44,Clinic Plus Shampoo 340ml,Clinic Plus,Personal Care,Shampoo,HamroBazar,411.17,NPR,True
45,Clear Shampoo 330ml,Clear,Personal Care,Shampoo,SastoDeal,798.45,NPR,True
46,Clear Shampoo 330ml,Clear,Personal Care,Shampoo,Daraz Nepal,804.67,NPR,True
47,Clear Shampoo 330ml,Clear,Personal Care,Shampoo,Amazon,448.55,NPR,True
48,Clear Shampoo 330ml,Clear,Personal Care,Shampoo,HamroBazar,615.65,NPR,True
49,Dove Body Wash 500ml,Dove,Personal Care,Body Wash,SastoDeal,1036.12,NPR,True
50,Dove Body Wash 500ml,Dove,Personal Care,Body Wash,Daraz Nepal,830.07,NPR,False
51,Dove Body Wash 500ml,Dove,Personal Care,Body Wash,Amazon,881.25,NPR,False
52,Dove Body Wash 500ml,Dove,Personal Care,Body Wash,HamroBazar,870.33,NPR,True
53,Lifebuoy Body Wash 450ml,Lifebuoy,Personal Care,Body Wash,SastoDeal,587.18,NPR,True
54,Lifebuoy Body Wash 450ml,Lifebuoy,Personal Care,Body Wash,Daraz Nepal,759.78,NPR,True
55,Lifebuoy Body Wash 450ml,Lifebuoy,Personal Care,Body Wash,Amazon,680.83,NPR,False
56,Lifebuoy Body Wash 450ml,Lifebuoy,Personal Care,Body Wash,HamroBazar,705.41,NPR,True
57,Dettol Body Wash 450ml,Dettol,Personal Care,Body Wash,SastoDeal,557.51,NPR,True
58,Dettol Body Wash 450ml,Dettol,Personal Care,Body Wash,Daraz Nepal,752.42,NPR,True
59,Dettol Body Wash 450ml,Dettol,Personal Care,Body Wash,Amazon,440.28,NPR,True
60,Dettol Body Wash 450ml,Dettol,Personal Care,Body Wash,HamroBazar,504.6,NPR,True
61,Dettol Soap 100g,Dettol,Personal Care,Soap,SastoDeal,147.53,NPR,False
62,Dettol Soap 100g,Dettol,Personal Care,Soap,Daraz Nepal,202.73,NPR,True
63,Dettol Soap 100g,Dettol,Personal Care,Soap,Amazon,222.38,NPR,False
64,Dettol Soap 100g,Dettol,Personal Care,Soap,HamroBazar,234.57,NPR,True
65,Lifebuoy Soap 90g,Lifebuoy,Personal Care,Soap,SastoDeal,83.71,NPR,True
66,Lifebuoy Soap 90g,Lifebuoy,Personal Care,Soap,Daraz Nepal,188.4,NPR,True
67,Lifebuoy Soap 90g,Lifebuoy,Personal Care,Soap,Amazon,173.53,NPR,True
68,Lifebuoy Soap 90g,Lifebuoy,Personal Care,Soap,HamroBazar,191.23,NPR,True
69,Lux Soap 80g,Lux,Personal Care,Soap,SastoDeal,143.17,NPR,True
70,Lux Soap 80g,Lux,Personal Care,Soap,Daraz Nepal,140.26,NPR,True
71,Lux Soap 80g,Lux,Personal Care,Soap,Amazon,123.11,NPR,False
72,Lux Soap 80g,Lux,Personal Care,Soap,HamroBazar,111.25,NPR,True
73,Dove Soap 100g,Dove,Personal Care,Soap,SastoDeal,288.62,NPR,True
74,Dove Soap 100g,Dove,Personal Care,Soap,Daraz Nepal,120.82,NPR,True
75,Dove Soap 100g,Dove,Personal Care,Soap,Amazon,251.92,NPR,True
76,Dove Soap 100g,Dove,Personal Care,Soap,HamroBazar,289.35,NPR,True
77,Pears Soap 75g,Pears,Personal Care,Soap,SastoDeal,226.32,NPR,True
78,Pears Soap 75g,Pears,Personal Care,Soap,Daraz Nepal,205.15,NPR,True
79,Pears Soap 75g,Pears,Personal Care,Soap,Amazon,165.32,NPR,True
80,Pears Soap 75g,Pears,Personal Care,Soap,HamroBazar,205.05,NPR,True
81,Santoor Soap 100g,Santoor,Personal Care,Soap,SastoDeal,94.6,NPR,True
82,Santoor Soap 100g,Santoor,Personal Care,Soap,Daraz Nepal,80.17,NPR,True
83,Santoor Soap 100g,Santoor,Personal Care,Soap,Amazon,203.49,NPR,True
84,Santoor Soap 100g,Santoor,Personal Care,Soap,HamroBazar,146.45,NPR,False
85,Nivea Body Lotion 400ml,Nivea,Personal Care,Lotion,SastoDeal,1247.81,NPR,True
86,Nivea Body Lotion 400ml,Nivea,Personal Care,Lotion,Daraz Nepal,1103.89,NPR,False
87,Nivea Body Lotion 400ml,Nivea,Personal Care,Lotion,Amazon,885.06,NPR,True
88,Nivea Body Lotion 400ml,Nivea,Personal Care,Lotion,HamroBazar,676.22,NPR,True
89,Nivea Body Lotion 200ml,Nivea,Personal Care,Lotion,SastoDeal,719.8,NPR,True
90,Nivea Body Lotion 200ml,Nivea,Personal Care,Lotion,Daraz Nepal,313.25,NPR,True
91,Nivea Body Lotion 200ml,Nivea,Personal Care,Lotion,Amazon,702.9,NPR,False
92,Nivea Body Lotion 200ml,Nivea,Personal Care,Lotion,HamroBazar,411.88,NPR,True
93,Vaseline Body Lotion 300ml,Vaseline,Personal Care,Lotion,SastoDeal,452.82,NPR,True
94,Vaseline Body Lotion 300ml,Vaseline,Personal Care,Lotion,Daraz Nepal,875.67,NPR,False
95,Vaseline Body Lotion 300ml,Vaseline,Personal Care,Lotion,Amazon,561.18,NPR,True
96,Vaseline Body Lotion 300ml,Vaseline,Personal Care,Lotion,HamroBazar,490.35,NPR,True
97,Dove Body Lotion 250ml,Dove,Personal Care,Lotion,SastoDeal,536.07,NPR,True
98,Dove Body Lotion 250ml,Dove,Personal Care,Lotion,Daraz Nepal,1054.18,NPR,False
99,Dove Body Lotion 250ml,Dove,Personal Care,Lotion,Amazon,730.17,NPR,True
100,Dove Body Lotion 250ml,Dove,Personal Care,Lotion,HamroBazar,691.09,NPR,True
101,Cetaphil Lotion 250ml,Cetaphil,Personal Care,Lotion,SastoDeal,1269.33,NPR,False
102,Cetaphil Lotion 250ml,Cetaphil,Personal Care,Lotion,Daraz Nepal,1147.95,NPR,False
103,Cetaphil Lotion 250ml,Cetaphil,Personal Care,Lotion,Amazon,1673.28,NPR,False
104,Cetaphil Lotion 250ml,Cetaphil,Personal Care,Lotion,HamroBazar,1797.77,NPR,True
105,Garnier Body Lotion 400ml,Garnier,Personal Care,Lotion,SastoDeal,683.05,NPR,False
106,Garnier Body Lotion 400ml,Garnier,Personal Care,Lotion,Daraz Nepal,678.21,NPR,True
107,Garnier Body Lotion 400ml,Garnier,Personal Care,Lotion,Amazon,567.96,NPR,False
108,Garnier Body Lotion 400ml,Garnier,Personal Care,Lotion,HamroBazar,421.12,NPR,True
109,Parachute Coconut Oil 200ml,Parachute,Personal Care,Hair Oil,SastoDeal,339.49,NPR,True
110,Parachute Coconut Oil 200ml,Parachute,Personal Care,Hair Oil,Daraz Nepal,357.38,NPR,True
111,Parachute Coconut Oil 200ml,Parachute,Personal Care,Hair Oil,Amazon,295.9,NPR,True
112,Parachute Coconut Oil 200ml,Parachute,Personal Care,Hair Oil,HamroBazar,218.12,NPR,True
113,Bajaj Almond Oil 200ml,Bajaj,Personal Care,Hair Oil,SastoDeal,355.07,NPR,True
114,Bajaj Almond Oil 200ml,Bajaj,Personal Care,Hair Oil,Daraz Nepal,336.41,NPR,True
