product_id,product_name,brand,category,subcategory,seller,price_NPR,currency
P00001,Dove Shampoo 500ml,Dove,Personal Care,Shampoo,SastoDeal,940.39,NPR
P00002,Dove Shampoo 500ml,Dove,Personal Care,Shampoo,Daraz Nepal,498.01,NPR
P00003,Dove Shampoo 500ml,Dove,Personal Care,Shampoo,Amazon,678.02,NPR
P00004,Dove Shampoo 500ml,Dove,Personal Care,Shampoo,HamroBazar,640.71,NPR
P00005,Dove Shampoo 200ml,Dove,Personal Care,Shampoo,SastoDeal,544.59,NPR
P00006,Dove Shampoo 200ml,Dove,Personal Care,Shampoo,Daraz Nepal,520.68,NPR
P00007,Dove Shampoo 200ml,Dove,Personal Care,Shampoo,Amazon,606.87,NPR
P00008,Dove Shampoo 200ml,Dove,Personal Care,Shampoo,HamroBazar,284.78,NPR
P00009,Pantene Shampoo 400ml,Pantene,Personal Care,Shampoo,SastoDeal,644.71,NPR
P00010,Pantene Shampoo 400ml,Pantene,Personal Care,Shampoo,Daraz Nepal,417.28,NPR
P00011,Pantene Shampoo 400ml,Pantene,Personal Care,Shampoo,Amazon,526.81,NPR
P00012,Pantene Shampoo 400ml,Pantene,Personal Care,Shampoo,HamroBazar,693.11,NPR
P00013,Pantene Shampoo 200ml,Pantene,Personal Care,Shampoo,SastoDeal,229.55,NPR
P00014,Pantene Shampoo 200ml,Pantene,Personal Care,Shampoo,Daraz Nepal,291.58,NPR
P00015,Pantene Shampoo 200ml,Pantene,Personal Care,Shampoo,Amazon,453.96,NPR
P00016,Pantene Shampoo 200ml,Pantene,Personal Care,Shampoo,HamroBazar,416.18,NPR
P00017,Head & Shoulders Shampoo 330ml,Head & Shoulders,Personal Care,Shampoo,SastoDeal,505.65,NPR
P00018,Head & Shoulders Shampoo 330ml,Head & Shoulders,Personal Care,Shampoo,Daraz Nepal,715.88,NPR
P00019,Head & Shoulders Shampoo 330ml,Head & Shoulders,Personal Care,Shampoo,Amazon,841.38,NPR
P00020,Head & Shoulders Shampoo 330ml,Head & Shoulders,Personal Care,Shampoo,HamroBazar,383.7,NPR
P00021,Head & Shoulders Shampoo 180ml,Head & Shoulders,Personal Care,Shampoo,SastoDeal,457.86,NPR
P00022,Head & Shoulders Shampoo 180ml,Head & Shoulders,Personal Care,Shampoo,Daraz Nepal,423.4,NPR
P00023,Head & Shoulders Shampoo 180ml,Head & Shoulders,Personal Care,Shampoo,Amazon,308.88,NPR
P00024,Head & Shoulders Shampoo 180ml,Head & Shoulders,Personal Care,Shampoo,HamroBazar,249.75,NPR
P00025,Sunsilk Shampoo 320ml,Sunsilk,Personal Care,Shampoo,SastoDeal,632.89,NPR
P00026,Sunsilk Shampoo 320ml,Sunsilk,Personal Care,Shampoo,Daraz Nepal,384.64,NPR
P00027,Sunsilk Shampoo 320ml,Sunsilk,Personal Care,Shampoo,Amazon,287.1,NPR
P00028,Sunsilk Shampoo 320ml,Sunsilk,Personal Care,Shampoo,HamroBazar,288.69,NPR
P00029,Sunsilk Shampoo 160ml,Sunsilk,Personal Care,Shampoo,SastoDeal,343.4,NPR
P00030,Sunsilk Shampoo 160ml,Sunsilk,Personal Care,Shampoo,Daraz Nepal,284.89,NPR
P00031,Sunsilk Shampoo 160ml,Sunsilk,Personal Care,Shampoo,Amazon,333.71,NPR
P00032,Sunsilk Shampoo 160ml,Sunsilk,Personal Care,Shampoo,HamroBazar,315.14,NPR
P00033,Rejoice Shampoo 340ml,Rejoice,Personal Care,Shampoo,SastoDeal,428.4,NPR
P00034,Rejoice Shampoo 340ml,Rejoice,Personal Care,Shampoo,Daraz Nepal,590.05,NPR
P00035,Rejoice Shampoo 340ml,Rejoice,Personal Care,Shampoo,Amazon,370.06,NPR
P00036,Rejoice Shampoo 340ml,Rejoice,Personal Care,Shampoo,HamroBazar,434.26,NPR
P00037,TRESemme Shampoo 400ml,TRESemme,Personal Care,Shampoo,SastoDeal,942.52,NPR
P00038,TRESemme Shampoo 400ml,TRESemme,Personal Care,Shampoo,Daraz Nepal,809.67,NPR
P00039,TRESemme Shampoo 400ml,TRESemme,Personal Care,Shampoo,Amazon,962.88,NPR
P00040,TRESemme Shampoo 400ml,TRESemme,Personal Care,Shampoo,HamroBazar,783.73,NPR
P00041,Clinic Plus Shampoo 340ml,Clinic Plus,Personal Care,Shampoo,SastoDeal,391.37,NPR
P00042,Clinic Plus Shampoo 340ml,Clinic Plus,Personal Care,Shampoo,Daraz Nepal,193.75,NPR
P00043,Clinic Plus Shampoo 340ml,Clinic Plus,Personal Care,Shampoo,Amazon,248.37,NPR
P00044,Clinic Plus Shampoo 340ml,Clinic Plus,Personal Care,Shampoo,HamroBazar,266.82,NPR
P00045,Clear Shampoo 330ml,Clear,Personal Care,Shampoo,SastoDeal,392.29,NPR
P00046,Clear Shampoo 330ml,Clear,Personal Care,Shampoo,Daraz Nepal,473.38,NPR
P00047,Clear Shampoo 330ml,Clear,Personal Care,Shampoo,Amazon,403.53,NPR
P00048,Clear Shampoo 330ml,Clear,Personal Care,Shampoo,HamroBazar,497.33,NPR
P00049,Dove Body Wash 500ml,Dove,Personal Care,Body Wash,SastoDeal,1077.62,NPR
P00050,Dove Body Wash 500ml,Dove,Personal Care,Body Wash,Daraz Nepal,852.81,NPR
P00051,Dove Body Wash 500ml,Dove,Personal Care,Body Wash,Amazon,857.25,NPR
P00052,Dove Body Wash 500ml,Dove,Personal Care,Body Wash,HamroBazar,723.89,NPR
P00053,Lifebuoy Body Wash 450ml,Lifebuoy,Personal Care,Body Wash,SastoDeal,453.49,NPR
P00054,Lifebuoy Body Wash 450ml,Lifebuoy,Personal Care,Body Wash,Daraz Nepal,788.33,NPR
P00055,Lifebuoy Body Wash 450ml,Lifebuoy,Personal Care,Body Wash,Amazon,644.02,NPR
P00056,Lifebuoy Body Wash 450ml,Lifebuoy,Personal Care,Body Wash,HamroBazar,624.57,NPR
P00057,Dettol Body Wash 450ml,Dettol,Personal Care,Body Wash,SastoDeal,477.55,NPR
P00058,Dettol Body Wash 450ml,Dettol,Personal Care,Body Wash,Daraz Nepal,795.6,NPR
P00059,Dettol Body Wash 450ml,Dettol,Personal Care,Body Wash,Amazon,473.14,NPR
P00060,Dettol Body Wash 450ml,Dettol,Personal Care,Body Wash,HamroBazar,596.29,NPR
P00061,Dettol Soap 100g,Dettol,Personal Care,Soap,SastoDeal,238.43,NPR
P00062,Dettol Soap 100g,Dettol,Personal Care,Soap,Daraz Nepal,186.0,NPR
P00063,Dettol Soap 100g,Dettol,Personal Care,Soap,Amazon,173.54,NPR
P00064,Dettol Soap 100g,Dettol,Personal Care,Soap,HamroBazar,192.69,NPR
