product_id,product_name,brand,category,subcategory,seller,price_NPR,currency
P44001,Gatorade Lemon 500ml,Gatorade,Sports,Sports Drink,SastoDeal,426.79,NPR
P44002,Gatorade Lemon 500ml,Gatorade,Sports,Sports Drink,Daraz Nepal,264.28,NPR
P44003,Gatorade Lemon 500ml,Gatorade,Sports,Sports Drink,Amazon,411.7,NPR
P44004,Gatorade Lemon 500ml,Gatorade,Sports,Sports Drink,HamroBazar,445.5,NPR
P44005,Gatorade Blue Bolt 500ml,Gatorade,Sports,Sports Drink,SastoDeal,473.33,NPR
P44006,Gatorade Blue Bolt 500ml,Gatorade,Sports,Sports Drink,Daraz Nepal,203.57,NPR
P44007,Gatorade Blue Bolt 500ml,Gatorade,Sports,Sports Drink,Amazon,502.36,NPR
P44008,Gatorade Blue Bolt 500ml,Gatorade,Sports,Sports Drink,HamroBazar,433.14,NPR
P44009,Pocari Sweat 500ml,Pocari,Sports,Sports Drink,SastoDeal,281.81,NPR
P44010,Pocari Sweat 500ml,Pocari,Sports,Sports Drink,Daraz Nepal,360.85,NPR
P44011,Pocari Sweat 500ml,Pocari,Sports,Sports Drink,Amazon,387.19,NPR
P44012,Pocari Sweat 500ml,Pocari,Sports,Sports Drink,HamroBazar,202.74,NPR
P44013,100Plus Isotonic 1.5L,100Plus,Sports,Sports Drink,SastoDeal,342.81,NPR
P44014,100Plus Isotonic 1.5L,100Plus,Sports,Sports Drink,Daraz Nepal,287.22,NPR
P44015,100Plus Isotonic 1.5L,100Plus,Sports,Sports Drink,Amazon,276.8,NPR
P44016,100Plus Isotonic 1.5L,100Plus,Sports,Sports Drink,HamroBazar,372.86,NPR
P44017,Powerade Mountain Berry 500ml,Powerade,Sports,Sports Drink,SastoDeal,442.36,NPR
P44018,Powerade Mountain Berry 500ml,Powerade,Sports,Sports Drink,Daraz Nepal,222.56,NPR
P44019,Powerade Mountain Berry 500ml,Powerade,Sports,Sports Drink,Amazon,432.47,NPR
P44020,Powerade Mountain Berry 500ml,Powerade,Sports,Sports Drink,HamroBazar,310.72,NPR
P44021,PowerBar Energy Bar Chocolate,PowerBar,Sports,Energy Bar,SastoDeal,1320.62,NPR
P44022,PowerBar Energy Bar Chocolate,PowerBar,Sports,Energy Bar,Daraz Nepal,887.27,NPR
P44023,PowerBar Energy Bar Chocolate,PowerBar,Sports,Energy Bar,Amazon,1179.96,NPR
P44024,PowerBar Energy Bar Chocolate,PowerBar,Sports,Energy Bar,HamroBazar,783.01,NPR
P44025,Clif Bar Oatmeal Raisin 68g,Clif,Sports,Energy Bar,SastoDeal,1281.9,NPR
P44026,Clif Bar Oatmeal Raisin 68g,Clif,Sports,Energy Bar,Daraz Nepal,1279.15,NPR
P44027,Clif Bar Oatmeal Raisin 68g,Clif,Sports,Energy Bar,Amazon,908.52,NPR
P44028,Clif Bar Oatmeal Raisin 68g,Clif,Sports,Energy Bar,HamroBazar,673.91,NPR
P44029,Snickers Sport 50g,Snickers,Sports,Energy Bar,SastoDeal,418.66,NPR
P44030,Snickers Sport 50g,Snickers,Sports,Energy Bar,Daraz Nepal,359.76,NPR
P44031,Snickers Sport 50g,Snickers,Sports,Energy Bar,Amazon,372.05,NPR
P44032,Snickers Sport 50g,Snickers,Sports,Energy Bar,HamroBazar,440.59,NPR
P44033,Optimum Nutrition Whey 1kg,Optimum Nutrition,Sports,Protein,SastoDeal,5432.11,NPR
P44034,Optimum Nutrition Whey 1kg,Optimum Nutrition,Sports,Protein,Daraz Nepal,5572.26,NPR
P44035,Optimum Nutrition Whey 1kg,Optimum Nutrition,Sports,Protein,Amazon,5486.57,NPR
P44036,Optimum Nutrition Whey 1kg,Optimum Nutrition,Sports,Protein,HamroBazar,6525.05,NPR
P44037,Myprotein Impact Whey 1kg,Myprotein,Sports,Protein,SastoDeal,5165.31,NPR
P44038,Myprotein Impact Whey 1kg,Myprotein,Sports,Protein,Daraz Nepal,3903.17,NPR
P44039,Myprotein Impact Whey 1kg,Myprotein,Sports,Protein,Amazon,4845.99,NPR
P44040,Myprotein Impact Whey 1kg,Myprotein,Sports,Protein,HamroBazar,5492.28,NPR
P44041,MuscleBlaze Whey 1kg,MuscleBlaze,Sports,Protein,SastoDeal,3615.25,NPR
P44042,MuscleBlaze Whey 1kg,MuscleBlaze,Sports,Protein,Daraz Nepal,4620.2,NPR
P44043,MuscleBlaze Whey 1kg,MuscleBlaze,Sports,Protein,Amazon,4423.44,NPR
P44044,MuscleBlaze Whey 1kg,MuscleBlaze,Sports,Protein,HamroBazar,3682.47,NPR
P44045,Muscletech Creatine 400g,Muscletech,Sports,Supplement,SastoDeal,3394.04,NPR
P44046,Muscletech Creatine 400g,Muscletech,Sports,Supplement,Daraz Nepal,3535.22,NPR
P44047,Muscletech Creatine 400g,Muscletech,Sports,Supplement,Amazon,3783.65,NPR
P44048,Muscletech Creatine 400g,Muscletech,Sports,Supplement,HamroBazar,4045.83,NPR
P44049,ON Creatine 300g,Optimum Nutrition,Sports,Supplement,SastoDeal,3306.13,NPR
P44050,ON Creatine 300g,Optimum Nutrition,Sports,Supplement,Daraz Nepal,3745.05,NPR
P44051,ON Creatine 300g,Optimum Nutrition,Sports,Supplement,Amazon,3327.15,NPR
P44052,ON Creatine 300g,Optimum Nutrition,Sports,Supplement,HamroBazar,2560.79,NPR
P44053,Nike Running Socks 3 pairs,Nike,Sports,Socks,SastoDeal,1554.76,NPR
P44054,Nike Running Socks 3 pairs,Nike,Sports,Socks,Daraz Nepal,1202.64,NPR
P44055,Nike Running Socks 3 pairs,Nike,Sports,Socks,Amazon,1753.87,NPR
P44056,Nike Running Socks 3 pairs,Nike,Sports,Socks,HamroBazar,1700.0,NPR
P44057,Adidas Cushioned Socks 3 pairs,Adidas,Sports,Socks,SastoDeal,1636.86,NPR
P44058,Adidas Cushioned Socks 3 pairs,Adidas,Sports,Socks,Daraz Nepal,857.58,NPR
P44059,Adidas Cushioned Socks 3 pairs,Adidas,Sports,Socks,Amazon,848.87,NPR
P44060,Adidas Cushioned Socks 3 pairs,Adidas,Sports,Socks,HamroBazar,1127.98,NPR
P44061,Yonex Mavis Shuttlecock 6 pack,Yonex,Sports,Badminton,SastoDeal,1275.85,NPR
P44062,Yonex Mavis Shuttlecock 6 pack,Yonex,Sports,Badminton,Daraz Nepal,875.92,NPR
P44063,Yonex Mavis Shuttlecock 6 pack,Yonex,Sports,Badminton,Amazon,1253.34,NPR
P44064,Yonex Mavis Shuttlecock 6 pack,Yonex,Sports,Badminton,HamroBazar,1265.4,NPR
P44065,Yonex Badminton Grip AC102,Yonex,Sports,Badminton,SastoDeal,491.39,NPR
P44066,Yonex Badminton Grip AC102,Yonex,Sports,Badminton,Daraz Nepal,694.86,NPR
P44067,Yonex Badminton Grip AC102,Yonex,Sports,Badminton,Amazon,317.43,NPR
P44068,Yonex Badminton Grip AC102,Yonex,Sports,Badminton,HamroBazar,671.27,NPR
P44069,Victor Badminton Shuttlecock,Victor,Sports,Badminton,SastoDeal,805.05,NPR
P44070,Victor Badminton Shuttlecock,Victor,Sports,Badminton,Daraz Nepal,1580.9,NPR
P44071,Victor Badminton Shuttlecock,Victor,Sports,Badminton,Amazon,840.0,NPR
P44072,Victor Badminton Shuttlecock,Victor,Sports,Badminton,HamroBazar,1435.37,NPR
P44073,Wilson Tennis Ball 3 pack,Wilson,Sports,Tennis,SastoDeal,764.12,NPR
P44074,Wilson Tennis Ball 3 pack,Wilson,Sports,Tennis,Daraz Nepal,1391.19,NPR
P44075,Wilson Tennis Ball 3 pack,Wilson,Sports,Tennis,Amazon,1314.93,NPR
P44076,Wilson Tennis Ball 3 pack,Wilson,Sports,Tennis,HamroBazar,784.06,NPR
P44077,Decathlon Resistance Band Set,Decathlon,Sports,Fitness,SastoDeal,1519.98,NPR
P44078,Decathlon Resistance Band Set,Decathlon,Sports,Fitness,Daraz Nepal,1478.96,NPR
P44079,Decathlon Resistance Band Set,Decathlon,Sports,Fitness,Amazon,930.08,NPR
P44080,Decathlon Resistance Band Set,Decathlon,Sports,Fitness,HamroBazar,875.47,NPR
P44081,Nike Water Bottle 700ml,Nike,Sports,Water Bottle,SastoDeal,1606.96,NPR
P44082,Nike Water Bottle 700ml,Nike,Sports,Water Bottle,Daraz Nepal,1085.07,NPR
P44083,Nike Water Bottle 700ml,Nike,Sports,Water Bottle,Amazon,912.7,NPR
